bodyID,weight_kg,stature_cm,neck_base_girth,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,thigh_girth,thigh_low_girth,calf_girth,ankle_girth,forearm_girth,wrist_girth,shoulder_length,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length,thigh_length,chest_depth_length,head_girth
ANSURI_fem_0019,58.3,156.69,34.38,86.25,72.15,96.23,99.42,59.32,38.5,35.31,19.88,25.36,14.66,14.53,51.79,24.09,74.43,37.83,38.71,22.6,55.2
ANSURI_fem_0020,63.65,160.99,35.94,86.12,80.46,99.1,103.75,59.15,39.5,36.98,21.17,25.26,14.93,14.24,55.37,24.73,78.37,36.75,39.77,22.59,56.18
ANSURI_fem_0021,56.88,155.06,34.05,85.32,74.36,96.62,95.66,59.52,40.52,33.29,19.18,22.83,13.85,12.92,49.6,22.7,73.72,37.73,39.87,21.16,54.92
ANSURI_fem_0022,49.93,152.21,33.5,80.09,78.02,89.57,92.9,52.89,35.7,32.8,18.52,23.33,14.36,13.09,50.19,21.85,70.82,37.52,37.38,20.02,53.36
ANSURI_fem_0023,53.61,163.94,35.14,84.93,68.83,86.78,100.36,53.08,34.92,34.18,20.12,23.8,14.56,14.16,56.7,24.33,79.06,38.53,40.56,20.78,54.72
ANSURI_fem_0024,67.86,164.11,37.12,95.94,84.26,102.41,101.51,60.15,39.4,35.56,20.66,23.87,14.73,13.2,53.58,23.23,78.2,40.03,40.14,24.53,54.01
ANSURI_fem_0025,44.65,151.61,33.01,81.23,66.85,83.83,94.51,49.16,33.38,30.46,18.37,21.57,13.9,13.27,50.82,22.22,71.58,37.05,35.78,19.85,54.26
ANSURI_fem_0026,65.56,161.99,36.38,95.85,80.59,98.13,102.09,61.3,39.47,34.9,19.88,25.72,14.87,12.69,53.03,23.89,76.6,38.69,40.04,24.5,54.4
ANSURI_fem_0027,66.22,166.37,36.91,89.44,80.58,97.8,104.22,57.13,39.03,38.53,23.26,25.91,15.77,14.5,56.89,25.8,77.6,39.06,38.24,22.37,56.04
ANSURI_fem_0028,64.29,168.75,36.52,89.47,75.65,98.3,102.75,57.55,39.05,34.52,20.91,25.81,15.33,14.25,58.69,25.8,82.7,39.84,41.68,22.05,53.6
ANSURI_fem_0029,57.06,150.1,34.58,89.05,88.04,98.46,97.44,57.17,37.14,32.55,19.0,23.4,13.67,13.04,51.22,23.27,69.29,36.9,36.64,21.89,52.73
ANSURI_fem_0030,82.68,164.28,39.46,107.14,98.67,111.65,118.46,65.03,39.66,36.65,20.41,26.97,14.8,15.09,58.6,24.73,81.36,41.87,39.89,29.21,53.39
ANSURI_fem_0031,61.58,164.97,34.86,87.34,76.62,99.2,93.38,58.4,39.07,34.39,20.92,24.47,14.4,11.89,55.29,23.94,79.91,38.13,40.64,23.52,52.13
ANSURI_fem_0032,71.57,164.68,39.11,101.39,83.92,100.16,111.7,60.21,39.74,36.81,21.85,25.44,15.13,15.11,56.77,25.23,78.63,38.55,40.6,26.35,54.64
ANSURI_fem_0033,56.22,166.29,35.36,86.56,74.09,92.45,97.88,52.87,35.16,32.23,18.75,24.36,14.45,12.19,57.69,24.61,81.54,40.2,41.31,21.23,53.2
ANSURI_fem_0034,48.78,151.94,35.16,86.61,71.8,87.0,93.17,51.93,33.51,30.4,18.6,23.89,14.44,12.29,49.54,22.33,68.37,36.48,34.92,22.19,54.09
ANSURI_fem_0035,64.24,162.17,36.74,98.56,83.96,95.62,109.31,54.77,35.98,33.1,20.13,24.98,15.82,14.58,54.96,24.08,77.56,40.74,39.74,25.81,54.62
ANSURI_fem_0036,77.56,164.09,39.64,103.66,91.85,104.39,106.42,64.11,42.51,38.03,21.55,26.63,15.54,13.44,53.55,23.73,76.32,42.66,40.63,28.38,56.27
ANSURI_fem_0037,52.54,159.94,33.55,80.07,67.92,91.63,90.15,53.99,36.32,35.25,21.24,24.69,14.6,12.63,53.38,23.47,74.81,37.75,38.3,21.1,54.07
ANSURI_fem_0038,60.84,149.71,37.72,99.12,91.23,96.56,103.7,56.93,36.62,34.76,19.37,24.09,14.35,13.98,48.48,21.53,70.52,36.74,35.89,26.72,53.4
ANSURI_fem_0039,86.68,177.11,38.69,100.78,96.31,109.91,111.41,66.0,41.82,38.17,22.68,26.24,16.19,14.47,60.28,27.01,82.78,44.51,42.87,25.65,57.69
ANSURI_fem_0040,68.62,179.98,37.57,85.82,73.89,98.91,104.38,59.61,38.07,35.91,21.84,25.36,15.83,14.67,60.2,27.63,89.66,41.84,43.53,21.41,58.76
ANSURI_fem_0041,67.16,163.74,36.95,95.4,91.76,98.99,103.19,58.26,37.87,34.24,20.24,26.24,15.35,13.44,53.79,24.06,78.22,39.36,41.01,24.51,56.09
ANSURI_fem_0042,70.76,164.3,37.27,98.93,89.78,102.3,104.19,58.88,39.46,35.96,20.77,27.34,16.37,13.9,54.63,25.44,77.4,39.53,40.51,25.15,55.5
ANSURI_fem_0043,59.79,158.71,34.88,89.72,77.67,96.24,100.75,58.81,38.27,33.47,19.42,24.83,14.42,13.43,56.5,25.54,77.89,38.05,41.51,22.44,53.4
ANSURI_fem_0044,45.53,154.8,32.54,78.89,66.85,86.01,95.33,49.52,32.47,30.09,18.12,23.09,14.57,14.47,53.88,24.04,73.46,39.4,36.33,18.85,52.2
ANSURI_fem_0045,65.02,159.25,35.93,90.48,81.1,100.96,100.69,60.76,41.02,36.26,20.47,24.7,14.56,13.23,56.02,25.19,75.89,40.92,38.21,23.64,54.43
ANSURI_fem_0046,54.34,166.49,35.04,82.01,69.06,88.93,96.13,53.29,35.21,35.04,20.74,24.62,14.88,14.33,56.53,25.34,82.5,38.41,41.76,20.82,55.37
ANSURI_fem_0047,60.02,161.51,35.31,85.79,76.38,98.62,97.64,58.01,37.67,33.96,19.53,25.27,15.21,13.44,56.31,25.34,77.01,39.43,40.12,20.89,54.57
ANSURI_fem_0048,65.54,158.83,37.1,89.06,84.86,99.89,104.76,57.81,38.52,40.41,22.44,25.61,14.88,13.61,54.89,23.66,77.08,37.64,39.12,24.73,55.04
ANSURI_fem_0049,60.24,159.91,36.19,90.78,76.79,96.35,97.93,56.25,38.85,34.0,20.57,23.7,14.89,12.93,55.17,24.28,75.05,37.09,39.42,24.16,56.3
ANSURI_fem_0050,76.79,160.38,36.77,97.35,95.19,103.3,104.8,65.26,46.39,40.74,24.27,26.35,15.79,13.52,54.74,23.61,74.68,43.01,37.67,27.02,54.37
ANSURI_fem_0051,79.97,163.76,38.13,98.99,95.13,109.72,107.8,66.89,43.68,38.94,23.16,26.55,15.3,14.21,53.38,23.62,76.84,42.61,39.89,26.28,54.44
ANSURI_fem_0052,78.53,170.49,38.81,99.72,90.39,105.13,109.1,63.05,41.95,38.2,22.01,26.38,15.65,15.71,57.96,25.9,84.65,42.1,43.22,27.65,57.64
ANSURI_fem_0053,59.01,160.81,35.34,87.52,74.08,94.8,101.1,57.32,36.77,34.83,20.73,26.28,15.36,13.62,55.14,24.8,78.87,37.21,39.49,21.93,55.54
ANSURI_fem_0054,60.25,158.67,36.25,90.49,78.96,97.36,100.68,58.27,37.97,33.81,20.04,23.2,14.03,12.21,54.03,24.41,77.14,35.5,39.16,22.9,56.41
ANSURI_fem_0055,67.64,172.34,35.95,84.62,81.18,100.3,98.51,60.03,40.42,36.14,22.58,24.95,16.09,14.54,57.72,25.64,83.24,41.03,41.81,22.5,55.8
ANSURI_fem_0056,63.23,161.32,36.82,93.0,74.35,95.86,102.03,59.42,38.57,35.77,20.72,25.93,15.56,14.27,57.27,25.86,80.51,38.35,42.48,25.58,55.28
ANSURI_fem_0057,50.31,158.14,34.25,80.13,71.74,90.76,92.41,54.39,33.37,30.35,18.4,23.65,14.03,12.84,54.13,24.33,77.16,35.17,40.29,20.8,54.51
ANSURI_fem_0058,58.65,164.18,35.97,86.63,73.28,93.89,98.09,54.61,36.97,32.84,19.65,25.28,15.25,13.31,58.24,25.77,78.8,37.31,40.06,23.11,59.72
ANSURI_fem_0059,78.21,164.25,39.03,100.92,93.58,112.38,105.25,63.57,40.99,36.26,20.44,26.56,15.33,12.8,54.53,24.54,77.72,38.89,40.41,27.51,55.64
ANSURI_fem_0060,58.11,155.47,35.5,83.64,75.55,94.39,100.71,58.69,38.74,36.6,19.65,25.78,14.97,14.33,53.86,24.69,76.11,36.49,37.86,22.66,55.01
ANSURI_fem_0061,61.75,159.95,35.15,89.89,81.63,99.51,94.81,59.42,38.96,34.63,20.48,23.86,14.43,12.2,54.61,23.96,77.77,38.72,39.27,23.46,53.79
ANSURI_fem_0062,71.95,162.37,37.97,98.91,86.8,104.34,107.37,60.96,39.72,36.56,21.72,25.62,15.21,12.68,55.69,23.52,78.0,39.87,39.51,26.86,55.23
ANSURI_fem_0063,60.08,158.47,34.26,85.14,74.26,97.84,97.85,61.47,40.79,36.48,20.04,23.64,14.5,13.87,52.33,24.44,76.21,35.75,39.55,20.62,56.24
ANSURI_fem_0064,65.24,157.5,36.99,97.37,87.29,99.05,104.52,56.83,38.43,33.9,22.17,25.65,15.5,14.55,51.52,23.58,73.34,39.43,37.34,26.92,55.28
ANSURI_fem_0065,58.19,157.25,36.32,86.12,72.44,96.85,98.03,57.68,38.69,35.82,20.32,24.5,14.29,13.59,53.92,25.01,76.56,36.51,38.25,22.64,53.71
ANSURI_fem_0066,46.77,157.52,33.18,78.4,70.58,85.55,93.57,49.33,32.33,30.17,19.45,22.19,14.33,13.39,50.37,22.72,73.32,41.74,36.89,20.22,51.55
ANSURI_fem_0067,52.95,159.3,34.78,85.8,73.01,88.59,96.62,53.08,33.93,33.94,20.86,23.73,15.64,13.51,52.12,22.75,76.67,38.72,38.59,21.46,54.86
ANSURI_fem_0068,50.68,154.7,34.37,83.58,69.32,88.23,95.53,53.98,35.5,33.33,19.35,25.1,14.72,13.8,53.08,24.91,76.97,34.56,37.95,21.24,56.71
ANSURI_fem_0069,52.82,156.89,34.51,82.4,69.82,90.85,96.56,54.69,37.48,33.39,19.39,24.41,14.79,14.35,51.03,23.68,75.62,38.28,38.74,21.11,53.76
ANSURI_fem_0070,48.93,144.52,33.84,87.17,76.41,86.65,93.68,52.2,37.91,32.32,19.61,23.91,14.44,12.21,47.38,20.5,66.66,37.07,34.79,22.96,53.29
ANSURI_fem_0071,63.9,171.87,35.68,86.34,73.34,96.4,104.92,56.86,38.42,36.69,22.23,26.03,15.73,16.22,56.61,25.69,82.74,43.04,41.09,20.66,54.32
ANSURI_fem_0072,63.19,172.12,34.87,82.82,71.01,97.22,97.02,59.81,39.69,35.29,20.61,24.96,14.58,13.73,58.46,27.31,86.19,42.08,43.22,21.91,56.05
ANSURI_fem_0073,56.76,163.49,36.38,92.42,71.86,87.93,99.57,52.21,34.84,34.12,20.94,24.63,15.36,13.27,55.56,24.74,76.44,41.72,38.96,23.79,55.29
ANSURI_fem_0074,47.01,150.59,34.05,84.41,65.55,84.83,96.62,51.32,33.6,32.57,18.94,24.7,14.26,12.75,50.81,23.38,73.83,35.26,37.31,21.54,54.24
ANSURI_fem_0075,65.8,166.08,37.4,96.54,82.08,97.99,102.58,59.04,37.69,35.54,20.68,24.43,14.71,13.92,57.65,26.86,84.41,37.4,42.99,24.88,56.26
ANSURI_fem_0076,55.93,152.49,34.18,92.25,76.79,92.53,96.7,55.89,38.54,36.66,20.48,25.05,14.39,13.58,50.59,22.97,73.29,36.69,37.25,22.74,54.64
ANSURI_fem_0077,53.65,162.23,33.98,83.75,73.78,88.2,97.55,54.23,35.64,32.08,18.24,24.16,14.3,14.21,59.54,26.9,82.36,38.53,43.66,21.73,54.15
ANSURI_fem_0078,66.92,161.08,35.89,91.09,84.13,103.67,104.84,62.7,38.82,35.32,19.59,25.27,14.66,14.55,56.31,26.64,78.41,38.86,39.31,22.94,55.12
ANSURI_fem_0079,64.49,158.22,35.54,98.06,83.78,97.91,99.67,58.86,38.17,36.19,21.42,25.94,16.04,12.8,53.09,23.84,74.01,38.22,37.63,25.81,54.13
ANSURI_fem_0080,65.4,160.49,36.9,93.89,82.63,97.95,104.2,58.19,39.82,37.07,21.5,25.51,14.78,15.17,55.94,25.4,77.71,38.56,39.64,25.49,56.66
ANSURI_fem_0081,70.83,173.87,37.17,92.58,80.14,100.98,105.3,59.58,38.86,37.46,22.0,25.76,15.32,14.97,56.93,24.83,82.95,42.61,41.93,23.55,56.25
ANSURI_fem_0082,56.54,165.07,32.94,78.92,69.43,94.56,94.1,57.28,37.57,35.98,21.87,24.0,14.71,13.5,53.8,22.94,78.03,39.51,37.36,20.54,54.07
ANSURI_fem_0083,74.56,171.37,38.85,100.56,87.66,96.62,105.7,57.2,40.67,39.93,23.39,28.41,16.55,14.08,58.71,26.29,83.85,44.09,42.88,27.87,58.15
ANSURI_fem_0084,55.15,155.36,34.63,88.16,79.56,94.16,99.55,54.17,36.06,33.02,18.98,22.71,14.15,13.67,55.36,25.2,76.92,36.79,38.83,22.23,54.64
ANSURI_fem_0085,69.86,158.51,37.33,103.43,87.24,99.58,109.23,61.68,39.84,36.85,21.79,25.98,15.41,15.48,50.96,23.11,72.73,40.99,37.54,26.37,52.98
ANSURI_fem_0086,57.37,166.75,35.46,84.12,74.87,92.73,96.32,55.13,36.4,33.99,20.51,23.61,14.92,13.09,56.51,25.11,82.38,38.01,41.68,21.36,53.71
ANSURI_fem_0087,49.52,149.63,35.09,85.75,75.08,88.35,97.61,50.77,33.25,31.88,19.76,23.59,14.6,13.65,48.48,21.69,68.13,37.28,35.09,22.03,53.88
ANSURI_fem_0088,55.19,164.44,35.4,82.2,68.95,92.04,97.33,55.96,35.14,32.75,18.5,24.51,14.66,14.13,56.03,25.39,80.93,36.91,41.61,21.74,56.23
ANSURI_fem_0089,66.89,164.29,36.49,90.17,83.05,99.46,102.09,59.31,41.65,36.96,20.6,26.09,15.68,12.88,56.74,25.13,80.15,37.97,40.13,22.81,57.83
ANSURI_fem_0090,75.03,163.69,38.15,101.35,95.14,104.58,109.38,62.64,39.32,35.66,20.56,27.23,16.14,13.86,55.8,24.96,78.58,41.03,39.32,26.57,55.15
ANSURI_fem_0091,66.62,168.92,36.68,91.48,78.89,98.28,105.34,58.71,38.77,35.58,21.35,24.9,14.9,13.88,59.19,27.12,85.38,39.55,43.07,24.23,54.21
ANSURI_fem_0092,55.19,160.81,35.47,86.41,73.79,92.23,99.56,54.53,34.85,32.6,19.85,24.19,14.97,13.94,55.94,24.38,79.28,37.16,40.65,21.44,54.1
ANSURI_fem_0093,71.95,161.93,36.91,93.69,84.56,104.68,109.55,63.89,40.78,37.01,21.18,28.42,15.61,15.3,56.17,24.92,77.03,39.48,39.8,24.58,53.3
ANSURI_fem_0094,69.09,159.39,38.83,106.03,89.88,96.71,104.75,58.71,38.44,34.65,21.14,27.59,16.13,12.93,53.11,23.15,74.63,40.54,38.44,28.83,55.47
ANSURI_fem_0095,61.8,162.98,36.95,86.87,75.8,97.28,97.25,58.52,39.09,35.37,21.02,26.08,15.3,13.4,54.57,24.65,76.54,37.39,38.44,22.66,55.97
ANSURI_fem_0096,66.34,169.56,36.7,86.92,77.79,97.69,105.61,56.68,38.89,36.85,21.13,26.16,16.61,15.46,59.48,28.14,80.74,41.99,39.41,23.47,54.55
ANSURI_fem_0097,83.82,167.31,38.67,103.5,98.93,110.13,112.92,65.1,41.07,38.7,21.89,27.51,15.79,15.78,55.68,24.17,76.71,45.1,40.38,27.7,54.02
ANSURI_fem_0098,66.74,162.41,36.86,89.76,81.63,100.05,105.6,61.6,40.08,35.13,21.28,25.56,15.24,14.58,55.2,24.56,76.18,40.83,38.39,23.25,54.71
ANSURI_fem_0099,55.75,158.94,33.93,87.55,76.04,90.43,99.91,54.49,37.3,35.1,19.99,23.9,14.45,13.75,52.84,23.83,76.87,40.32,39.43,21.62,52.16
ANSURI_fem_0100,58.07,168.18,35.28,80.02,72.35,94.27,98.91,56.46,37.19,33.7,18.91,24.48,14.45,14.8,56.25,25.78,83.9,39.91,42.45,21.08,55.13
ANSURI_fem_0101,63.04,159.05,35.19,93.14,76.89,96.08,104.99,59.5,39.69,36.77,20.61,26.35,15.32,15.56,53.82,23.69,75.45,39.9,40.35,23.26,54.46
ANSURI_fem_0102,61.03,162.32,37.05,89.41,83.38,96.24,96.76,56.27,36.86,34.28,20.47,25.61,15.23,13.33,54.14,24.66,77.43,39.58,39.48,23.13,52.65
ANSURI_fem_0103,63.18,170.26,35.25,87.54,78.24,97.52,101.01,57.27,38.06,34.78,19.14,23.26,13.94,15.59,53.65,23.54,80.29,44.94,40.15,22.65,54.71
ANSURI_fem_0104,52.23,162.95,35.24,89.77,70.45,86.96,98.59,49.83,33.18,30.44,19.28,23.2,15.03,16.27,57.41,24.69,78.55,39.65,40.78,23.26,54.55
ANSURI_fem_0105,61.71,157.65,36.01,89.67,86.22,95.78,99.41,58.54,38.04,35.57,21.9,25.53,15.46,13.71,52.53,23.17,75.1,40.01,38.45,23.53,53.86
ANSURI_fem_0106,75.92,172.88,38.62,96.46,87.83,103.77,105.46,60.43,41.88,36.34,21.55,26.29,16.32,14.07,59.82,26.88,83.37,41.63,41.59,25.63,57.23
ANSURI_fem_0107,79.84,161.75,39.24,103.86,92.89,107.23,115.09,65.67,42.03,39.55,22.03,28.04,15.5,15.03,56.15,25.3,76.44,41.49,39.4,26.92,55.94
ANSURI_fem_0108,48.01,155.08,33.47,83.73,67.48,86.59,95.3,49.38,33.09,32.37,18.49,23.83,15.01,15.02,55.38,25.6,73.8,38.68,37.88,21.13,53.52
ANSURI_fem_0109,57.19,165.73,35.86,86.72,70.82,89.13,101.59,53.43,37.13,34.9,20.08,25.22,15.18,14.73,53.82,24.87,79.23,43.51,40.88,21.31,54.77
ANSURI_fem_0110,70.59,164.97,37.18,96.41,84.45,102.78,105.29,60.22,38.37,35.51,20.0,26.65,15.55,14.73,54.96,24.8,76.8,44.2,38.37,26.85,56.61
ANSURI_fem_0111,48.06,164.16,33.83,76.44,68.83,85.24,93.47,50.76,33.5,31.6,18.83,22.41,15.28,13.83,53.18,23.7,78.71,40.51,39.67,17.61,53.39
ANSURI_fem_0112,60.15,150.3,35.24,89.88,87.43,98.43,101.26,58.51,39.6,34.13,18.87,26.4,15.3,13.85,49.9,23.32,69.1,39.89,34.71,22.58,54.91
ANSURI_fem_0113,61.73,160.46,37.38,88.41,76.78,96.17,102.02,58.01,38.84,35.15,21.16,26.38,15.89,15.22,52.61,23.49,74.73,40.77,38.31,22.59,55.1
ANSURI_fem_0114,47.62,152.55,34.12,81.47,69.53,86.15,95.76,49.98,33.01,32.57,19.08,24.08,15.06,13.72,49.82,23.03,71.33,37.58,36.49,21.11,53.24
ANSURI_fem_0115,58.69,166.4,34.87,85.45,69.63,91.13,101.55,55.61,37.42,35.62,20.15,25.82,15.63,14.88,59.96,27.41,83.57,40.28,42.68,22.05,53.72
ANSURI_fem_0116,77.05,174.82,37.2,91.17,81.99,104.93,102.93,63.84,44.27,41.02,23.27,28.46,15.79,15.4,56.79,25.23,83.03,42.11,41.12,23.31,55.62
ANSURI_fem_0117,54.97,161.45,35.11,87.42,69.4,89.38,99.71,52.65,35.56,34.39,21.1,24.89,14.97,14.11,52.99,22.87,75.72,40.19,37.38,22.96,54.37
ANSURI_fem_0118,59.86,158.7,35.53,90.9,76.17,94.82,103.45,57.56,38.05,34.97,21.35,23.8,14.96,14.64,50.73,22.33,73.03,39.46,37.11,22.77,53.87
ANSURI_fem_0119,48.7,148.23,33.33,85.36,71.9,90.36,95.07,53.54,33.7,32.0,18.56,22.59,13.63,13.14,48.19,21.1,69.09,36.56,33.72,22.82,51.96
ANSURI_fem_0120,81.69,168.71,37.87,101.67,90.83,107.52,110.66,63.98,43.93,39.53,22.24,27.88,17.22,14.13,58.62,26.13,80.74,43.21,40.57,26.54,54.49
ANSURI_fem_0121,58.53,164.61,33.48,84.77,72.41,96.09,96.89,56.96,37.49,32.78,19.83,24.49,14.78,14.43,55.69,24.8,77.93,40.29,39.21,23.26,54.15
ANSURI_fem_0122,54.92,157.43,34.02,84.54,74.26,92.68,97.29,54.54,36.82,36.11,20.53,23.6,14.47,14.61,52.77,23.01,75.67,38.05,38.62,21.84,53.09
ANSURI_fem_0123,59.5,162.59,35.79,89.9,78.62,93.05,103.82,53.59,35.18,33.11,20.51,25.97,15.96,14.51,56.58,26.27,78.91,41.76,40.06,23.32,54.74
ANSURI_fem_0124,57.22,155.41,34.33,88.83,78.58,95.33,98.2,57.69,37.14,34.66,19.76,23.34,13.69,13.03,52.14,22.51,74.57,38.57,37.0,22.76,53.85
ANSURI_fem_0125,55.94,153.49,33.89,87.74,72.73,92.39,97.48,55.92,39.06,36.33,20.48,25.2,14.41,12.83,53.95,24.37,73.96,38.75,38.44,22.91,54.29
ANSURI_fem_0126,51.7,161.42,34.59,83.13,72.21,86.47,96.85,51.57,35.04,33.74,20.37,24.17,14.84,14.74,53.0,24.14,77.86,38.96,39.11,20.35,53.1
ANSURI_fem_0127,60.98,155.11,35.68,90.02,77.19,98.43,101.38,58.29,38.26,36.36,21.3,25.89,15.35,14.13,51.78,23.65,72.59,40.46,35.89,23.77,55.22
ANSURI_fem_0128,63.62,157.34,36.46,95.53,84.68,95.36,105.76,56.02,37.42,36.78,20.66,25.02,14.64,13.94,53.04,23.45,70.87,42.37,36.15,25.32,55.65
ANSURI_fem_0129,50.93,150.81,33.45,90.46,79.77,87.2,95.83,52.35,35.42,32.58,18.01,24.03,13.91,13.43,51.48,23.84,73.7,38.03,38.59,23.07,52.59
ANSURI_fem_0130,60.18,159.63,35.63,88.05,79.58,95.3,99.79,58.11,38.67,35.7,20.71,23.59,14.63,14.17,52.03,23.89,74.83,40.25,37.94,22.17,54.14
ANSURI_fem_0131,65.62,165.5,37.3,88.52,76.75,99.49,101.14,60.55,41.1,36.64,21.57,25.94,15.83,14.13,56.31,26.1,81.4,36.76,40.08,22.15,54.75
ANSURI_fem_0132,59.2,159.57,36.44,86.81,79.0,92.2,102.15,56.55,39.29,32.92,19.27,24.46,14.7,14.74,57.75,26.16,77.45,41.19,39.28,23.35,55.18
ANSURI_fem_0133,51.66,152.24,34.86,87.17,72.6,90.93,99.15,52.36,34.28,32.28,19.56,23.64,14.28,14.03,51.17,23.04,69.96,37.8,35.11,22.75,51.81
ANSURI_fem_0134,54.82,162.52,34.58,84.32,73.02,90.28,97.32,53.61,35.4,34.42,19.84,23.58,14.81,14.91,55.4,24.11,75.87,41.72,37.66,21.28,54.37
ANSURI_fem_0135,45.54,157.4,33.29,78.99,67.76,84.3,93.55,48.65,33.31,30.17,19.02,22.08,14.13,14.36,51.06,22.52,72.86,40.46,35.9,18.82,52.27
ANSURI_fem_0136,54.07,155.69,33.6,80.97,68.02,88.63,94.04,57.24,40.31,37.3,20.42,23.83,14.38,14.36,55.31,25.35,77.12,38.84,39.91,22.04,53.99
ANSURI_fem_0137,71.11,165.99,37.47,94.59,89.32,99.2,111.06,59.09,39.01,36.3,21.0,27.2,16.17,16.41,56.77,24.88,77.75,43.14,39.34,24.74,56.88
ANSURI_fem_0138,59.79,155.76,34.85,96.95,82.96,93.82,98.98,56.15,37.95,35.21,20.16,24.44,14.53,13.14,52.25,22.56,73.39,37.17,38.09,25.42,53.7
ANSURI_fem_0139,58.77,166.05,34.61,87.94,73.39,92.9,96.96,53.82,36.52,36.11,21.49,23.81,14.73,13.63,57.0,25.58,79.13,41.39,40.24,23.14,55.33
ANSURI_fem_0140,50.38,161.88,34.4,86.06,70.66,87.19,94.62,49.49,33.32,32.38,18.89,22.02,13.77,14.26,54.06,24.08,77.32,40.16,37.02,21.99,52.52
ANSURI_fem_0141,48.13,156.13,31.88,83.13,69.94,86.64,94.41,51.25,32.89,31.85,18.5,23.51,14.24,14.46,51.19,22.67,73.72,39.43,36.41,21.03,53.64
ANSURI_fem_0142,60.31,155.06,35.41,92.36,76.7,98.03,99.56,60.05,37.76,34.64,19.54,25.52,14.91,13.59,51.99,22.21,75.04,36.32,38.97,25.18,55.15
